,Artist,Song,JSI Genre,Genre
88,Psy,Gangnam Style,Pop,"Pop, Music, K-Pop, World, Rock"
89,Alicia Keys,Girl on Fire,R & B,"R&B/Soul, Music, Pop, Pop/Rock, Contemporary R&B, Rock, Singer/Songwriter, Contemporary Singer/Songwriter"
90,Jason Derulo,It Girl,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B"
91,Katy Perry,Part Of Me,Pop,Pop
92,Prince,Breakfast Can Wait,R & B,"R&B/Soul, Music, Pop"
93,Coolio,Gangsta's Paradise,Hip Hop,"Hip-Hop/Rap, Music, Electronic, Dirty South, Rap, Hip-Hop, Hardcore Rap, West Coast Rap"
94,Demi Lovato,Made in the USA,Pop,"Pop, Music, Rock, Teen Pop, Dance"
95,The Notorious B.I.G,Hypnotize,Hip Hop,Hip-Hop/Rap
96,Ariana Grande,Right There,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Dance, Rock, Vocal"
97,All Time Low,A Love Like War,Rock,Alternative
98,Shakira,Hips Don't Lie,Pop,Pop
99,Lil Wayne,Rich As F**k,Hip Hop,Hip-Hop/Rap
100,Miranda Lambert,Gunpowder & Lead,Country,Country
101,Florida Georgia Line,Get Your Shine On,Country,Country
102,Buckcherry,Crazy Bitch,Rock,"Rock, Music"
103,Ariana Grande,Honeymoon Avenue,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Dance, Rock, Vocal"
104,A$AP Rocky,F**kin' Problems,Hip Hop,Hip-Hop/Rap
105,Miranda Lambert,Mama's a Broken Heart,Country,Country
106,Kip Moore,Hey Pretty Girl,Country,"Country, Music, Rock, Arena Rock, Southern Rock, Contemporary Country, Roots Rock"
107,Michael Buble,Close Your Eyes,Pop,"Pop, Music"
108,Kansas,Carry on Wayward Son,Rock,"Rock, Music, Pop, Pop/Rock, Prog-Rock/Art Rock, Arena Rock"
109,Eminem,Lose Yourself,Hip Hop,"Hip-Hop/Rap, Music, Hip-Hop, Hardcore Rap"
110,The Weeknd,Live For,R & B, R&B/Soul
111,Ram Jam,Black Betty,Rock,"Rock, Music, Hard Rock, Blues-Rock, Arena Rock, Metal, Southern Rock"
112,A$AP Rocky,Wild for the Night,Hip Hop,Hip-Hop/Rap
113,Maroon 5,Payphone,Pop,"Pop, Music"
114,Kelly Clarkson,Stronger ,Pop,"Pop, Music, Pop/Rock, Adult Contemporary, Rock"
115,Katy Perry,Firework,Pop,"Pop, Music, Rock, Teen Pop, Pop/Rock"
116,Katy Perry,E.T,Pop,Pop
117,Bruno Mars,Grenade,Pop,"Pop, Music, Rock"
118,Cee Lo Green,F**k you!,R & B,"R&B/Soul, Music, Hip-Hop/Rap, Rap, Contemporary R&B, Neo-Soul, Rock"
119,Nicki Minaj,Super Bass,R & B,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Rock, Rap"
120,Maroon 5,Moves like Jagger,Pop,"Pop, Music, Rock, Pop/Rock, Adult Alternative"
121,The Black Eyed Peas,Just Can't Get Enough,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Hip-Hop/Rap, Rap, Dance, Rock, Electronic"
122,Jennifer Lopez,On the Floor,Pop,"Pop, Music"
123,Rihanna,S&M,Dance,"Dance, Music, Electronic, Rock, R&B/Soul, Contemporary R&B"
124,Katy Perry,Last Friday Night ,Pop,Pop
125,Enrique Iglesias,Tonight,Pop,"Latino, Music, Pop"
126,P!nk,Raise Your Glass,Pop,"Pop, Music"
127,Lady Gaga,Born This Way,Pop,"Pop, Music, Pop/Rock, Electronic, R&B/Soul, Rock, Dance"
128,P!nk,F**kin' Perfect,Pop,"Pop, Music, Rock, Dance, Electronic, R&B/Soul, Pop/Rock, Contemporary R&B, Teen Pop"
129,Rihanna,What's My Name?,Pop,"Pop, Music"
130,Jeremih,Down on Me,R & B,"R&B/Soul, Music, Pop"
131,Lil Wayne,How to Love,Hip Hop,"Hip-Hop/Rap, Music, Rap, Hardcore Rap, Dirty South"
132,Bruno Mars,The Lazy Song,Pop,Pop
133,Lupe Fiasco,The Show Goes On,Hip Hop,"Hip-Hop/Rap, Music"
134,Lady Gaga,The Edge of Glory,Pop,Pop
135,Wiz Khalifa,Black and Yellow,Hip Hop,"Hip-Hop/Rap, Music, East Coast Rap, Rap, Hardcore Rap"
136,Hot Chelle Rae,Tonight Tonight,Pop,"Pop, Music, Rock"
137,Ke$ha,Blow,Pop,Pop
138,The Black Eyed Peas,Party All The Time,Dance,"Hip-Hop/Rap, Music, Rock, Rap, Electronic, Hip-Hop, Dance, Alternative Rap"
139,Diddy,Coming Home,Hip Hop,"Hip-Hop/Rap, Music"
140,Pitbull and T-Pain,Hey Baby,Pop,"Pop, Music, Rock, Hip-Hop/Rap, Rap, Dance"
141,Lil Wayne,6 Foot 7 Foot,Hip Hop,"Hip-Hop/Rap, Music"
142,Lady Antebellum,Just a Kiss,Country,"Country, Music, Contemporary Country, Honky Tonk, Rock"
143,Jason Aldean,Dirt Road Anthem,Country,Country
144,Waka Flocka Flame,No Hands,Hip Hop,"Hip-Hop/Rap, Music, Rap"
145,Dj Khaled,I'm On One,Hip Hop,"Hip-Hop/Rap, Music, Rap"
146,Cobra Starship,You Make Me Feel…,Dance,"Alternative, Music, Rock, Adult Alternative, Dance"
147,Chris Brown,Yeah 3x,R & B,"R&B/Soul, Music"
148,Nicki Minaj,Moment 4 Life,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Rock, Rap"
149,Dr. Dre,I Need a Doctor,Hip Hop,"Hip-Hop/Rap, Music, Hardcore Rap, Rap"
150,Edward Maya,Stereo Love,Dance,"Dance, Music, Hip-Hop/Rap, Rap, Electronic"
151,Christina Perri,Jar of Hearts,Pop,"Pop, Music, Singer/Songwriter, Contemporary Singer/Songwriter, Rock"
152,Wiz Khalifa,Roll Up,Hip Hop,"Hip-Hop/Rap, Music, Rap, East Coast Rap, Hardcore Rap"
153,Far East Movement,Rocketeer,Pop,Pop
154,Britney Spears ,Hold it Against Me,Pop,"Pop, Music, Pop/Rock, Dance, Rock, Teen Pop, Adult Contemporary"
155,Usher,More,R & B,R&B/Soul
156,Avril Lavigne,What the Hell,Pop,"Pop, Music, Alternative, Rock"
157,Tinie Tempah,Written in the Stars,Pop,Pop
158,Trey Songz,Bottoms Up,R & B,R&B/Soul
159,The Script,For the First Time,Pop,"Pop, Music, Rock"
160,Blake Shelton,Honey Bee,Country,Country
161,Jason Aldean,Don't You Wanna Stay,Country,"Country, Music, Contemporary Country"
162,Keri Hilson,Pretty Girl Rock,R & B,"R&B/Soul, Music, Contemporary R&B, Dance, Rock"
163,Lady Gaga,You and I,Pop,"Pop, Music"
164,Eli Young Band,Crazy Girl,Country,Country
165,Selena Gomez & the Scene,Who Says,Pop,"Pop, Music"
166,Jake Owen,Barefoot Blue Jean Night,Country,"Country, Music, Karaoke"
167,Zac Brown Band,Knee Deep,Country,Country
168,Luke Bryan,Country Girl,Country,"Country, Music, Contemporary Country"
169,New Boyz,Backseat,Hip Hop,Hip-Hop/Rap
170,Drake,Headlines,Hip Hop,"Hip-Hop/Rap, Music"
171,Jason Derulo,Don't Wanna Go Home,Pop,"Pop, Music, Hip-Hop/Rap, Rap, Rock, R&B/Soul, Contemporary R&B"
172,Chris Brown,She Ain't You,R & B,R&B/Soul
173,Rodney Atkins,Take a Back Road,Country,"Country, Music, Honky Tonk, Contemporary Country"
174,Mike Posner,Please Don't Go,Pop,"Pop, Music, Rock, Dance, Hip-Hop/Rap, Alternative Rap, Rap"
175,Miguel,Sure Thing,R & B,"R&B/Soul, Music, Neo-Soul, Soul, Dance, Rock, Contemporary R&B"
176,Jessie J,Price Tag,Pop,"Pop, Music"
177,Blake Shelton,God Gave Me You,Country,Country
178,Lil Wayne,She Will,Hip Hop,Hip-Hop/Rap
179,Kenny Chesney,You and Tequila,Country,Country
180,Zac Brown Band,Colder Weather,Country,"Country, Music"
181,Big Sean,My Last,Hip Hop,"Hip-Hop/Rap, Musik, Rap"
182,Ke$ha,Tik Tok,Pop,"Pop, Music, Electronic, Hip-Hop/Rap, Rock, Dance, Rap, R&B/Soul"
183,Lady Antebellum,Need You Now,Country,"Country, Music, Contemporary Country, Honky Tonk, Rock"
184,B.o.B,Airplanes,Hip Hop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock"
185,Lady Gaga,Bad Romance,Pop,Pop
186,Taio Cruz,Break Your Heart,Pop,"Pop, Music, R&B/Soul, Rock, Dance, Contemporary R&B"
187,B.o.B,Nothin' on You,Hip Hop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock"
188,Enrique Iglesias,I Like It,Pop,"Pop Latino, Music, Latino, Pop"
189,Young Money,BedRock,Hip Hop,"Hip-Hop/Rap, Music"
190,Rihanna,Rude Boy,Pop,"Pop, Music, R&B/Soul, Hip-Hop/Rap, Rap, Dance, Contemporary R&B, Rock"
191,Lady Gaga,Telephone,Pop,Pop
192,The Black Eyed Peas,Imma Be,Pop,"Pop, Music, Electronic, Rock, Hip-Hop/Rap, Rap, Dance"
193,Jay Z,Empire State of Mind,Hip Hop,Hip-Hop/Rap
194,Eminem,Not Afraid,Hip Hop,"Hip-Hop/Rap, Music, Rock, Hardcore Rap, Rap"
195,The Black Eyed Peas,I Gotta Feeling,Pop,Pop
196,Trey Songz,Say Aah,R & B,"R&B/Soul, Music, Contemporary R&B"
197,Drake,Find Your Love,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Rap, Rock, Hardcore Rap"
198,Lady Gaga,Alejandro,Dance,"Dance, Music, Rock, Pop, R&B/Soul"
199,Jason Derulo,Ridin' Solo,Pop,"Pop, Music, Hip-Hop/Rap, Rap, R&B/Soul, Rock, Contemporary R&B"
200,Ludacris,How Low,Hip Hop,"Hip-Hop/Rap, Music, Dirty South, Hardcore Rap"
201,Timbaland,Carry Out,Pop,"Pop, Music, Hip-Hop/Rap, Rap, Dance, Rock, Adult Alternative, R&B/Soul, Contemporary R&B"
202,Michael Buble,Haven't Met You Yet,Pop,Pop
203,Adam Lambert,Whataya Want From Me,Pop,"Pop, Music"
204,Taylor Swift,Mine,Country,"Country, Music, Honky Tonk, Rock"
205,Kris Allen,Live Like We're Dying,Pop,"Pop, Music"
206,Rihanna,Hard,Pop,"Pop, Music, R&B/Soul, Hip-Hop/Rap, Rap, Dance, Contemporary R&B, Rock"
207,Jay Z and Mr Hudson,Young Forever,Hip Hop,Hip-Hop/Rap
208,Ke$ha,Blah Blah Blah,Pop,Pop
209,Jay Sean,Do You Remember,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Rock, Electronic, Dance"
210,OneRepublic,All the Right Moves,Pop,"Pop, Music"
211,Orianthi,According to You,Pop,"Pop, Music, Rock, Pop/Rock"
212,Ludacris,My Chick Bad,Hip Hop,Hip-Hop/Rap
213,The Black Eyed Peas,Meet Me Halfway,Pop,Pop
214,Ke$ha,Take It Off,Pop,Pop
215,Drake,Over,Hip Hop,"Hip-Hop/Rap, Music"
216,Maroon 5,Misery,Pop,"Pop, Music, Rock, Adult Alternative, Pop/Rock"
217,B.o.B,Magic,Hip Hop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock"
218,Lady Gaga,Paparazzi,Pop,"Pop, Music, Rock, Dance, R&B/Soul"
219,New Boyz,Tie Me Down,Hip Hop,Hip-Hop/Rap
220,Nicki Minaj,Your Love,R & B,"Hip-Hop/Rap, Music, Rap, Hardcore Rap, R&B/Soul, Contemporary R&B"
221,Miley Cyrus,Party in the U.S.A,Pop,"Pop, Music, Teen Pop"
222,Chris Brown,Deuces,R & B,"R&B/Soul, Music"
223,Britney Spears,3,Pop,"Pop, Music"
224,The Black Eyed Peas,Rock That Body,Pop,"Pop, Music, Electronic, Rock, Hip-Hop/Rap, Rap, Dance"
225,OneRepublic,Secrets,Pop,"Pop, Music"
226,Selena Gomez & the Scene,Naturally,Pop,"Pop, Music, Rock, Teen Pop"
227,Kevin Rudolf,I Made It,Pop,"Pop, Music, Hip-Hop/Rap, Rock"
228,Sugarland,Stuck Like Glue,Country,Country
229,Usher,Hey Daddy (Daddy's Home),R & B,"R&B/Soul, Music, Dance, Contemporary R&B, Rock"
230,Usher,There Goes My Baby,R & B,"R&B/Soul, Music, Contemporary R&B"
231,Taylor Swift,Today Was a Fairytale,Country,"Country, Music, Honky Tonk"
232,Timbaland,Say Something,Pop,Pop
233,Carrie Underwood,Undo It,Country,"Country, Music, Pop, Adult Contemporary, Contemporary Country, Rock"
234,Sean Kingston,Eenie Meenie,Pop,"Pop, Music, Rock"
235,Lil Wayne,Right Above It,Hip Hop,"Hip-Hop/Rap, Music, Dirty South, Hardcore Rap, Rap"
236,Paramore,The Only Exception,Pop,"Alternative, Music"
237,Lady Antebellum,American Honey,Country,Country
238,Sara Bareilles,King of Anything,Pop,"Pop, Music, Singer/Songwriter, Contemporary Singer/Songwriter, Alternative Folk, Rock, Adult Alternative"
239,Daughtry,Life After You,Rock,Rock
240,Uncle Kracker,Smile,Pop,"Pop, Music, Pop/Rock, Rock, American Trad Rock, Metal"
241,Jerrod Niemann,"Lover, Lover",Country,"Country, Music, Rock, Contemporary Country"
242,The Black Eyed Peas,Boom Boom Pow,Pop,"Pop, Music, Electronic, Rock, Hip-Hop/Rap, Rap, Dance"
243,Lady Gaga,Poker Face,Pop,Pop
244,Lady Gaga,Just Dance,Pop,"Pop, Music, Dance"
245,Flo Rida,Right Round,Hip Hop,"Hip-Hop/Rap, Music"
246,Beyonce,Single Ladies,R & B,R&B/Soul
247,Kanye West,Heartless,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul"
248,The Fray,You Found Me,Rock,"Rock, Music, American Trad Rock, Adult Alternative"
249,Keri Hilson,Knock You Down,R & B,R&B/Soul
250,Jamie Foxx,Blame It,R & B,"R&B/Soul, Music, Contemporary R&B"
251,T.I.,Live Your Life,Hip Hop,Hip-Hop/Rap
252,Miley Cyrus,The Climb,Pop,"Pop, Music, Rock"
253,Shinedown,Second Chance,Rock,"Rock, Music, Alternative, Hard Rock, Metal"
254,Kid Cudi,Day 'n Nite,Hip Hop,"Hip-Hop/Rap, Music, Alternative Rap, Underground Rap"
255,30H!3,Don't Trust Me,Pop,"Alternative, Music, Hip-Hop/Rap, Rap, Pop, Underground Rap, Dance, Electronic, Alternative Rap"
256,Kevin Rudolf,Let It Rock,Pop,"Pop, Music, Rock, Hip-Hop/Rap, Hard Rock"
257,Sean Kingston,Fire Burning,Hip Hop,"Hip-Hop/Rap, Music, Reggae, R&B/Soul, Contemporary R&B, Dirty South, Pop"
258,Lady Gaga,LoveGame,Pop,"Pop, Music, Rock, R&B/Soul, Dance"
259,Katy Perry,Waking Up in Vegas,Pop,"Pop, Music"
260,Jay Z,Run This Town,Hip Hop,Hip-Hop/Rap
261,Jeremih,Birthday Sex,R & B,"R&B/Soul, Music, Rock, Contemporary R&B"
262,P!nk,Sober,Pop,"Pop, Music, Rock, Dance, Electronic, R&B/Soul, Pop/Rock, Contemporary R&B, Teen Pop"
263,Britney Spears,Womanizer,Pop,"Pop, Music, Dance"
264,Mariah Carey,Obsessed,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B"
265,Ne-Yo,Mad,R & B,"R&B/Soul, Music, Contemporary R&B"
266,Cobra Starship,Good Girls Go Bad,Pop,"Alternative, Music, Soundtrack, Soundtrack, Punk, Rock, Adult Alternative, Dance"
267,"Eminem, Dr.Dre, and 50 Cent",Crack a Bottle,Hip Hop,"Hip-Hop/Rap, Music, Hardcore Rap"
268,Keri Hilson,Turnin' Me On,R & B,"R&B/Soul, Music, Rock, Contemporary R&B"
269,Pussycat Dolls,I Hate This Part,Pop,Pop
270,Nickelback,Gotta Be Somebody,Rock,"Rock, Music, Metal, Pop, Pop/Rock, Alternative, Hard Rock"
271,P!nk,Please Don't Leave Me,Pop,Pop
272,Coldplay,Viva la Vida,Pop,"Alternative, Music, Rock"
273,Flo Rida,Sugar,Hip Hop,"Hip-Hop/Rap, Music"
274,Linkin Park,New Divide,Rock,Alternative
275,Daughtry,No Surprise,Rock,"Rock, Music"
276,Shakira,She Wolf,Pop,"Pop, Music"
277,Mario,Break Up,R & B,"R&B/Soul, Music"
278,Young Money,Every Girl,Hip Hop,"Hip-Hop/Rap, Music, Hardcore Rap, Dirty South, Rap"
279,Colbie Caillat,Fallin' For You,Pop,"Pop, Music, Pop/Rock, Rock, Adult Alternative, Singer/Songwriter, Contemporary Singer/Songwriter"
280,The Veronicas,Untouched,Pop,"Pop, Music, Rock, Adult Alternative, Pop/Rock, Teen Pop, Alternative, Punk"
281,Boys Like Girls,Love Drunk,Pop,"Alternative, Music"
282,Asher Roth,I Love College,Hip Hop,"Hip-Hop/Rap, Music, Alternative Rap"
283,Britney Spears,If U Seek Amy,Pop,"Pop, Music"
284,Jason Aldean,Big Green Tractor,Country,"Country, Music, Rock"
285,Taylor Swift,White Horse,Country,Country
286,Green Day,21 Guns,Rock,Alternative
287,Soulja Boy Tell 'Em,Turn My Swag On,Hip Hop,"Hip-Hop/Rap, Music, Rock, Hardcore Rap"
288,The-Dream,Rockin' That Thang,R & B,"R&B/Soul, Music, Rock, Hip-Hop/Rap, Rap, Contemporary R&B"
289,Zac Brown Band,Chicken Fried,Country,"Country, Music"
290,Beyonce,Diva,Pop,Pop
291,Brad Paisley,Then,Country,"Country, Music, Contemporary Country"
292,Rob Thomas,Her Diamonds,Pop,Pop
293,Jesse McCartney,How Do You Sleep?,Pop,"Pop, Music, Rock, Adult Alternative"
294,Justin Bieber,One Time,Pop,"Pop, Music, Dance, Teen Pop, R&B/Soul, Contemporary R&B, Rock"
295,Lady Antebellum,I Run to You,Country,Country
296,John Legend,Green Light,R & B,"R&B/Soul, Music"
297,Billy Currington,People Are Crazy,Country,Country
298,Zac Brown Band,Whatever It Is,Country,"Country, Music"
299,Kristinia DeBarge,Goodbye,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B, Dance"
300,Michael Franti & Spearhead,Say Hey,Pop,"Alternative, Music, Rock, Reggae, Dancehall, Hip-Hop/Rap, Alternative Rap"
301,Jim Jones feat. Ron Browz & Juelz Santana,Pop Champagne,Hip Hop,Hip-Hop/Rap
302,Maxwell,Pretty Wings,R & B,"R&B/Soul, Music"
303,The Fray,Never Say Never,Rock,"Rock, Music, American Trad Rock, Adult Alternative"
304,Flo Rida feat. T-Pain,Low,Hip Hop,Hip-Hop/Rap
305,Leona Lewis,Bleeding Love,Pop,"Pop, Music, Adult Contemporary, Rock, Adult Alternative, R&B/Soul, Contemporary R&B, Pop/Rock"
306,Lil Wayne feat. Static Major,Lollipop,Hip Hop,Hip-Hop/Rap
307,Jordin Sparks feat. Chris Brown,No Air,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B, Teen Pop, Pop/Rock"
308,Usher feat. Young Jeezy,Love In This Club,R & B,R&B/Soul
309,Chris Brown,With You,R & B,"R&B/Soul, Music, Contemporary R&B"
310,Ray J feat.  Yung Berg,Sexy Can I,Hip Hop,Hip-Hop/Rap
311,Rihanna,Take a Bow,Pop,Pop
312,Rihanna,Don't Stop the Music,Pop,"Pop, Music, R&B/Soul, Dance"
313,Chris Brown feat. T-Pain,Kiss Kiss,R & B,"R&B/Soul, Music, Hip-Hop/Rap"
314,Mariah Carey,Touch My Body,Pop,"Pop, Music, Electronic, Rock, Adult Contemporary, R&B/Soul, Contemporary R&B, Dance"
315,Fergie,Clumsy,Pop,Pop
316,Jesse McCartney,Leavin,Pop,Pop
317,OneRepublic,Stop and Stare,Pop,"Pop, Music, Rock, Adult Alternative"
318,Sean Kingston,Take You There,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Reggae, Pop"
319,T.I. feat. Rihanna,Live Your Life,Hip Hop,"Hip-Hop/Rap, Music, Dirty South, Gangsta Rap"
320,Lil Wayne feat. T-Pain,Got Money,Hip Hop,Hip-Hop/Rap
321,Danity Kane,Damaged,Pop,"Pop, Music, Electronic, Rock, R&B/Soul, Dance, Contemporary R&B"
322,Taylor Swift,Teardrops on my Guitar,Country,Country
323,Snoop Dogg,Sexual Eruption,Hip Hop,"Hip-Hop/Rap, Music, Gangsta Rap, West Coast Rap"
324,3 Doors Down,It's Not My Time,Rock,"Rock, Music, Metal, Adult Alternative, Hard Rock, Alternative"
325,Leona Lewis,Better in Time,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Adult Contemporary"
326,Soulja Boy Tell 'Em,Crank That,Hip Hop,"Hip-Hop/Rap, Music, Gangsta Rap, Hardcore Rap"
327,Linkin Park,Shadow of the Day,Rock,"Alternative, Music, Rock, Hard Rock"
328,"Wyclef Jean feat. Akon, Lil Wayne & Niia",Sweetest Girl,Hip Hop,Hip-Hop/Rap
329,Flo Rida feat will.i.am,In the Ayer,Hip Hop,"Hip-Hop/Rap, Music, Dirty South"
